id,start_s,end_s,shift,duration_ms,response10_ms,ratio90_ms,pedal_start_pct,pedal_end_pct,input_start,input_end,output_start,output_end,engine_peak,request_min,request_max,net_torque_min,target_overshoot_rpm,phases_ms,longest_substate,longest_substate_ms,trace_events,forward,review
1,2.345,3.519,N/P->R2,1174,,,0.0,0.0,625,0,0,0,638,,,39,,"{""0"": 59, ""1"": 210, ""2"": 20, ""3"": 20, ""4"": 21, ""5"": 496, ""7"": 328, ""8"": 20}",5.0.0,496,1,False,Selector P_R/R; Completed; retain sequence pending separate OEM garage comparison
2,12.725,13.877,N/P->2,1152,,,0.0,15.2,180,0,0,0,687,,,45,,"{""0"": 57, ""1"": 212, ""2"": 19, ""3"": 19, ""4"": 19, ""5"": 482, ""7"": 325, ""8"": 19}",5.0.0,482,2,False,Selector N_D/D; Completed; retain sequence pending separate OEM garage comparison
3,13.896,15.041,2->1,1145,,,16.8,22.0,0,244,0,0,1023,,,66,,"{""1"": 1145}",1.1.0,706,3,True,Low-speed ratio response unavailable; use output/clutch signals
4,29.282,30.406,1->2,1124,381,686,32.4,33.6,2281,1505,578,612,2442,,,9,,"{""1"": 1124}",1.1.0,572,4,True,No specific control failure established; retain as comparison shift
5,32.61,33.503,2->3,893,342,513,0.0,0.0,1583,886,657,595,1573,,,-45,,"{""1"": 893}",1.1.0,399,5,True,No specific control failure established; retain as comparison shift; Reverses to 2 after 724 ms: check useful gear residence and changing demand
6,34.227,35.791,3->2,1564,630,860,0.0,0.0,651,228,442,97,638,,,6,19,"{""1"": 1564}",1.1.0,609,6,True,Fill/release dominates; coordinate MPC release and SPC rise as pedal increases; Next downshift follows after 19 ms: judge total ladder response
7,35.81,36.842,2->1,1032,,,0.0,0.0,206,0,92,0,636,,,51,,"{""1"": 1032}",1.1.0,609,7,True,Low-speed ratio response unavailable; use output/clutch signals
8,56.081,57.415,1->2,1334,553,839,47.2,54.0,2650,2182,667,903,3079,197,199,129,,"{""1"": 1334}",1.1.0,725,8,True,No specific control failure established; retain as comparison shift
9,58.745,60.113,2->3,1368,570,1121,54.0,52.8,2845,2042,1171,1363,3142,226,230,156,,"{""1"": 1368}",1.1.0,703,9,True,No specific control failure established; retain as comparison shift
10,62.184,63.611,3->4,1427,723,951,43.6,44.0,2333,1691,1559,1685,2537,180,184,123,,"{""1"": 1427}",1.1.0,855,10,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
11,65.245,66.216,4->5,971,344,515,24.8,30.0,1826,1546,1816,1858,1925,,,51,,"{""1"": 971}",1.1.0,513,11,True,No specific control failure established; retain as comparison shift
12,87.303,88.545,5->4,1242,362,747,68.0,61.2,1819,2239,2195,2232,2457,190,274,129,22,"{""1"": 1242}",1.1.0,419,12,True,No specific control failure established; retain as comparison shift
13,89.628,90.637,4->5,1009,381,572,46.4,0.0,2299,1894,2293,2277,2460,,,-51,,"{""1"": 1009}",1.1.0,571,13,True,No specific control failure established; retain as comparison shift
14,92.39,93.515,5->4,1125,362,650,98.0,100.0,1794,2150,2158,2145,2363,92,184,36,19,"{""1"": 1125}",1.1.0,399,14,True,No specific control failure established; retain as comparison shift; Next downshift follows after 19 ms: judge total ladder response
15,93.534,94.714,4->3,1180,418,667,100.0,100.0,2164,3231,2145,2158,3511,164,267,81,89,"{""1"": 1180}",1.1.0,418,15,True,No specific control failure established; retain as comparison shift; Reverses to 4 after 722 ms: check useful gear residence and changing demand
16,95.436,96.978,3->4,1542,781,1085,78.0,20.0,3370,2335,2253,2326,3558,232,238,30,,"{""1"": 1542}",1.1.0,780,16,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
17,96.997,97.949,4->5,952,342,514,20.0,13.2,2339,1899,2326,2285,2339,,,-15,,"{""1"": 952}",1.1.0,475,17,True,No specific control failure established; retain as comparison shift
18,116.819,117.714,5->4,895,323,572,0.0,0.0,896,931,1083,933,772,,,-9,5,"{""1"": 895}",1.1.0,477,18,True,No specific control failure established; retain as comparison shift
