caller,site,target,kind
egs52_reset_startup,080546,0805a8,UNCONDITIONAL_CALL
egs52_reset_startup,080550,08112c,UNCONDITIONAL_CALL
egs52_reset_startup,080558,0810fc,UNCONDITIONAL_CALL
egs52_reset_startup,080568,080f90,UNCONDITIONAL_CALL
egs52_reset_startup,08057e,083132,UNCONDITIONAL_CALL
egs52_reset_startup,080588,08244a,UNCONDITIONAL_CALL
egs52_reset_startup,08058c,082392,UNCONDITIONAL_CALL
egs52_reset_startup,080590,081d72,UNCONDITIONAL_CALL
egs52_reset_startup,080594,081db0,UNCONDITIONAL_CALL
,0805b0,08059c,UNCONDITIONAL_CALL
egs52_reset_startup,08077a,08112c,UNCONDITIONAL_CALL
egs52_reset_startup,0808dc,0807a6,COMPUTED_JUMP
egs52_reset_startup,0808dc,0807ce,COMPUTED_JUMP
egs52_reset_startup,0808dc,0807ba,COMPUTED_JUMP
egs52_reset_startup,08095e,0807f4,COMPUTED_JUMP
egs52_reset_startup,08095e,0807e2,COMPUTED_JUMP
egs52_update_near_fdee_080960,080ae0,00f224,UNCONDITIONAL_CALL
egs52_update_near_fdee_080b22,080bf8,00f224,UNCONDITIONAL_CALL
egs52_update_near_f3e6_080c1a,080c2a,080960,UNCONDITIONAL_CALL
egs52_update_near_f3e6_080c30,080c40,08172a,UNCONDITIONAL_CALL
egs52_update_near_f3e6_080c30,080c44,080b22,UNCONDITIONAL_CALL
egs52_update_near_f3f8_080c4a,080ce2,080f5e,UNCONDITIONAL_CALL
egs52_update_near_f3f8_080c4a,080dec,080f5e,UNCONDITIONAL_CALL
egs52_update_near_f3f8_080c4a,080f00,080f5e,UNCONDITIONAL_CALL
egs52_call_081058_080f90,080faa,081058,UNCONDITIONAL_CALL
egs52_call_081058_080f90,080fd6,081058,UNCONDITIONAL_CALL
egs52_call_081058_080f90,081006,081058,UNCONDITIONAL_CALL
egs52_call_081058_080f90,081022,0810cc,UNCONDITIONAL_CALL
egs52_call_081058_080f90,08103c,0810cc,UNCONDITIONAL_CALL
egs52_update_near_f3fe_08115c,0811a6,08172a,UNCONDITIONAL_CALL
egs52_update_near_f3fe_08115c,0811c4,0810fc,UNCONDITIONAL_CALL
egs52_update_near_f3fe_08115c,0811cc,081af0,UNCONDITIONAL_CALL
egs52_update_near_f3fe_08115c,0811d6,081b00,UNCONDITIONAL_CALL
egs52_update_near_f3fe_08115c,0811ea,081a92,UNCONDITIONAL_CALL
