address,file_offset,name,body_bytes,instructions,decompiled,warnings,status,source,native_symbol,name_confidence,name_evidence
080000,000000,egs52_register_sequence_080000,4,1,true,57,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080004,000004,egs52_register_sequence_080004,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080008,000008,egs52_register_sequence_080008,4,1,true,10,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
08000c,00000c,egs52_register_sequence_08000c,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080010,000010,egs52_register_sequence_080010,4,1,true,9,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080014,000014,egs52_register_sequence_080014,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080018,000018,egs52_register_sequence_080018,4,1,true,9,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
08001c,00001c,egs52_register_sequence_08001c,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080020,000020,egs52_register_sequence_080020,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080024,000024,egs52_register_sequence_080024,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080028,000028,egs52_register_sequence_080028,4,1,true,9,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
08002c,00002c,egs52_register_sequence_08002c,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080030,000030,egs52_register_sequence_080030,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080034,000034,egs52_register_sequence_080034,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080038,000038,egs52_register_sequence_080038,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
08003c,00003c,egs52_register_sequence_08003c,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080040,000040,egs52_register_sequence_080040,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080044,000044,egs52_register_sequence_080044,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080048,000048,egs52_register_sequence_080048,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
08004c,00004c,egs52_register_sequence_08004c,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080050,000050,egs52_register_sequence_080050,4,1,true,9,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080054,000054,egs52_register_sequence_080054,4,1,true,9,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080058,000058,egs52_register_sequence_080058,4,1,true,9,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
08005c,00005c,egs52_register_sequence_08005c,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080060,000060,egs52_register_sequence_080060,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080064,000064,egs52_register_sequence_080064,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080068,000068,egs52_register_sequence_080068,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
08006c,00006c,egs52_register_sequence_08006c,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080070,000070,egs52_register_sequence_080070,4,1,true,11,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080074,000074,egs52_register_sequence_080074,4,1,true,11,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080078,000078,egs52_register_sequence_080078,4,1,true,11,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
08007c,00007c,egs52_register_sequence_08007c,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080080,000080,egs52_register_sequence_080080,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080084,000084,egs52_register_sequence_080084,4,1,true,10,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080088,000088,egs52_register_sequence_080088,4,1,true,32,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
08008c,00008c,egs52_register_sequence_08008c,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080090,000090,egs52_register_sequence_080090,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080094,000094,egs52_register_sequence_080094,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
080098,000098,egs52_register_sequence_080098,4,1,true,4,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
08009c,00009c,egs52_register_sequence_08009c,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
0800a0,0000a0,egs52_register_sequence_0800a0,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
0800a4,0000a4,egs52_register_sequence_0800a4,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
0800a8,0000a8,egs52_register_sequence_0800a8,4,1,true,1,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
0800ac,0000ac,egs52_register_sequence_0800ac,4,1,true,5,vector_data,egs52_vectors.c,,structural,Register-level instruction sequence; higher-level role unresolved
