owner,site,table,count,bank,targets
083146,08315e,080416,16,08,083160;0831d6;08328c;0832b4;0832e8;083318;08335a;0833a0;0833c6;0833e6;08341c;08345e;083494;0834ce;08350a;083534
0835ae,0835c6,080436,2,08,0835c8;0835de
095130,095150,092718,9,09,095152;09516a;095286;095468;09566c;095870;0959c6;0959da;095a8a
098254,09842c,09274e,6,09,09842e;098458;0984f0;098542;0985b8;0985c8
0a350e,0a3872,09275a,6,0a,0a3874;0a38ae;0a396a;0a39a4;0a39f8;0a3a3a
0a3e0c,0a3e54,092766,9,0a,0a3e56;0a3e56;0a3e56;0a3e56;0a3e56;0a3e56;0a3e7c;0a3e56;0a3e56
0d072a,0d0758,091640,9,0d,0d075a;0d094c;0d0a3c;0d0a3c;0d094c;0d0b1e;0d0bc2;0d0c20;0d0bb2
0d202e,0d204c,091698,7,0d,0d204e;0d2080;0d204e;0d22ca;0d204e;0d204e;0d204e
0d385e,0d3946,0916b2,10,0d,0d3948;0d39ae;0d3a8a;0d3b08;0d3c56;0d3e38;0d3f2c;0d3f4e;0d3f78;0d3f7e
0d44ce,0d44fa,0916c6,7,0d,0d44fc;0d450c;0d45b2;0d4698;0d472c;0d4770;0d47ba
0d492a,0d4956,0916d4,7,0d,0d4958;0d4980;0d499a;0d49da;0d49f8;0d4a4e;0d4ada
0d4bf8,0d4c12,0916e2,7,0d,0d4c14;0d4c3c;0d4c72;0d4cda;0d4da8;0d4e20;0d4e94
0d54fc,0d55fc,0916f0,10,0d,0d55fe;0d5636;0d569c;0d583e;0d5896;0d5918;0d5994;0d59b6;0d5a0e;0d5b12
0d5b66,0d5c56,091704,5,0d,0d5c58;0d5cf0;0d5df2;0d5e18;0d5ea8
0d63b0,0d63d6,09170e,6,0d,0d63d8;0d640a;0d6472;0d6524;0d65ae;0d6640
0d6866,0d6886,09171a,5,0d,0d6888;0d68a6;0d6914;0d69c0;0d6a40
0d9430,0d944a,091724,5,0d,0d944c;0d952e;0d961e;0d96ae;0d9782
0daaea,0dab04,091736,5,0d,0dab06;0dab3a;0dab56;0dab88;0dabae
0dae20,0dae3c,091740,5,0d,0dae3e;0dae80;0dae9c;0daece;0daf02
0de4f0,0de930,09174a,5,0d,0debda;0de932;0de9e4;0dea7a;0deb58
0def12,0def30,091754,6,0d,0def32;0defb6;0df000;0df03e;0df0c0;0df07a
0e3672,0e3d34,091a68,5,0e,0e3d48;0e3d48;0e3d48;0e3d36;0e3d42
0e5ae0,0e5b0e,091a72,7,0e,0e5b10;0e5b30;0e5b30;0e5b30;0e5b30;0e5cf8;0e5cf8
095130,0954b4,09272a,6,09,0954b6;095aa6;095500;095556;0955e4;095608
095130,0956b8,092736,6,09,0956ba;095aa6;095704;09575a;0957e8;09580c
095130,0958bc,092742,6,09,0958be;095aa6;0958d0;0958fa;09595c;095980
0d072a,0d09b6,091652,11,0d,0d0a32;0d09b8;0d09c4;0d09d4;0d09e8;0d09f4;0d09fc;0d0a0a;0d0a12;0d0a22;0d0a2a
0d072a,0d0a80,091668,13,0d,0d0b10;0d0a82;0d0a92;0d0a9e;0d0aaa;0d0c38;0d0ab6;0d0ac2;0d0ad0;0d0adc;0d0aec;0d0af8;0d0b04
0d072a,0d0b88,091682,6,0d,0d0baa;0d0b8a;0d0c38;0d0b92;0d0b9a;0d0ba2
0d072a,0d0c00,09168e,5,0d,0d0c1a;0d0c02;0d0c08;0d0c0e;0d0c14
0d202e,0d22e0,0916a6,6,0d,0d22e2;0d22fa;0d239c;0d23e8;0d23f8;0d24f8
0e5ae0,0e5b46,091a80,8,0e,0e5b48;0e5b6a;0e5bf4;0e5c66;0e5b48;0e5b6a;0e5bf4;0e5c66
0e5ae0,0e5d0e,091a90,7,0e,0e5d62;0e5de8;0e5de8;0e5d10;0e5d62;0e5d1c;0e5d1c
