address,name,evidence,confidence
080000,egs52_register_sequence_080000,Register-level instruction sequence; higher-level role unresolved,structural
080004,egs52_register_sequence_080004,Register-level instruction sequence; higher-level role unresolved,structural
080008,egs52_register_sequence_080008,Register-level instruction sequence; higher-level role unresolved,structural
08000c,egs52_register_sequence_08000c,Register-level instruction sequence; higher-level role unresolved,structural
080010,egs52_register_sequence_080010,Register-level instruction sequence; higher-level role unresolved,structural
080014,egs52_register_sequence_080014,Register-level instruction sequence; higher-level role unresolved,structural
080018,egs52_register_sequence_080018,Register-level instruction sequence; higher-level role unresolved,structural
08001c,egs52_register_sequence_08001c,Register-level instruction sequence; higher-level role unresolved,structural
080020,egs52_register_sequence_080020,Register-level instruction sequence; higher-level role unresolved,structural
080024,egs52_register_sequence_080024,Register-level instruction sequence; higher-level role unresolved,structural
080028,egs52_register_sequence_080028,Register-level instruction sequence; higher-level role unresolved,structural
08002c,egs52_register_sequence_08002c,Register-level instruction sequence; higher-level role unresolved,structural
080030,egs52_register_sequence_080030,Register-level instruction sequence; higher-level role unresolved,structural
080034,egs52_register_sequence_080034,Register-level instruction sequence; higher-level role unresolved,structural
080038,egs52_register_sequence_080038,Register-level instruction sequence; higher-level role unresolved,structural
08003c,egs52_register_sequence_08003c,Register-level instruction sequence; higher-level role unresolved,structural
080040,egs52_register_sequence_080040,Register-level instruction sequence; higher-level role unresolved,structural
080044,egs52_register_sequence_080044,Register-level instruction sequence; higher-level role unresolved,structural
080048,egs52_register_sequence_080048,Register-level instruction sequence; higher-level role unresolved,structural
08004c,egs52_register_sequence_08004c,Register-level instruction sequence; higher-level role unresolved,structural
080050,egs52_register_sequence_080050,Register-level instruction sequence; higher-level role unresolved,structural
080054,egs52_register_sequence_080054,Register-level instruction sequence; higher-level role unresolved,structural
080058,egs52_register_sequence_080058,Register-level instruction sequence; higher-level role unresolved,structural
08005c,egs52_register_sequence_08005c,Register-level instruction sequence; higher-level role unresolved,structural
