shift,speed_ratio_at_start,dItrq_A,dItrq_B,dp_on_A,dp_on_B,dspc_A,dspc_B,dreq_A,dreq_B,p_on_max_base
00_D2_D1,0.701,6.0,4.0,100.0,60.0,100.0,60.0,0.0,0.0,5967.0
01_D1_D2,0.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3529.0
02_D2_D3,0.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3132.0
03_D3_D4,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4082.0
04_D4_D3,1.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3805.0
05_D3_D2,1.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2957.0
06_D2_D1,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2964.0
07_D1_D2,0.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4942.0
08_D2_D3,0.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3593.0
09_D3_D4,1.049,6.0,4.0,76.0,51.0,76.0,51.0,0.0,0.0,4342.0
10_D4_D3,0.7,7.0,6.0,77.0,57.0,77.0,57.0,0.0,0.0,6164.0
11_D3_D4,0.932,8.0,6.0,102.0,60.0,102.0,60.0,0.0,0.0,5922.0
12_D4_D3,0.88,10.0,8.0,116.0,102.0,116.0,102.0,0.0,0.0,7018.0
13_D3_D4,0.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6251.0
14_D4_D5,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4567.0
15_D5_D4,1.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3295.0
16_D4_D3,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3804.0
17_D3_D2,1.281,6.0,5.0,71.0,59.0,71.0,59.0,0.0,0.0,3914.0
18_D2_D3,0.943,8.0,6.0,117.0,88.0,117.0,88.0,0.0,0.0,4843.0
19_D3_D2,0.848,10.0,8.0,132.0,102.0,132.0,102.0,0.0,0.0,6112.0
20_D2_D3,0.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4205.0
21_D3_D4,0.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5664.0
22_D4_D5,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5321.0
23_D5_D4,1.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3295.0
24_D4_D3,1.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3806.0
25_D3_D2,1.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2957.0
26_D2_D1,0.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5075.0
27_D1_D2,0.964,1.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,4285.0
28_D2_D3,0.949,3.0,2.0,44.0,30.0,44.0,30.0,0.0,0.0,3953.0
29_D3_D4,0.952,1.0,1.0,12.0,6.0,12.0,6.0,0.0,0.0,4962.0
30_D4_D5,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4567.0
31_D5_D4,1.547,6.0,4.0,64.0,43.0,64.0,43.0,0.0,0.0,4003.0
32_D4_D3,0.864,6.0,5.0,76.0,51.0,76.0,51.0,0.0,0.0,5578.0
33_D3_D4,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4873.0
34_D4_D3,1.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3806.0
35_D3_D2,1.018,5.0,3.0,58.0,35.0,58.0,35.0,0.0,0.0,2957.0
36_D2_D1,0.656,5.0,3.0,84.0,50.0,84.0,50.0,0.0,0.0,5756.0
37_D1_D2,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4842.0
38_D2_D3,0.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3343.0
39_D3_D4,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4082.0
40_D4_D3,1.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3805.0
41_D3_D2,1.073,6.0,5.0,78.0,52.0,78.0,52.0,0.0,0.0,3409.0
42_D2_D3,0.948,2.0,1.0,13.0,13.0,13.0,13.0,0.0,0.0,3128.0
43_D3_D2,1.156,1.0,1.0,21.0,21.0,21.0,21.0,0.0,0.0,2155.0
44_D2_D1,0.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5075.0
